Longitude,Latitude,Telsur_no,Age,Gender,SpCom,State,IV_Date,o_oh,F1_o,F2_o,F1_oh,F2_oh
-83.28332,42.335687,124,14,F,Detroit,MI,9/21/94,11,920,1458,848,1207
-83.28332,42.335687,125,42,F,Detroit,MI,9/28/94,22,894,1467,784,1145
-83.28332,42.335687,127,47,M,Detroit,MI,9/28/94,22,869,1500,760,1179
-71.04562,42.33499,427,21,F,Boston,MA,10/25/95,0,814,1182,776,1178
-85.56635,42.330089,206,34,M,Kalamazoo,MI,1/24/95,11,750,1530,711,1233
-89.170527,42.325364,2,37,F,Rockford,IL,3/17/92,12,630,1584,683,1375
-89.08246,42.303365,299,65,F,Rockford,IL,3/20/95,22,861,1501,757,1206
-71.78846,42.286543,409,15,M,Worcester,MA,10/3/95,0,789,1256,817,1261
-83.79147,42.280887,115,43,M,Ann Arbor,MI,4/13/94,12,838,1509,751,1200
-84.94869,42.277837,230,29,F,Marshall,MI,2/1/95,22,791,1304,669,1023
-85.69255,42.272538,205,32,M,Kalamazoo,MI,1/24/95,12,841,1510,748,1222
-83.72297,42.266805,116,35,M,Ann Arbor,MI,4/13/94,22,848,1447,736,1216
-88.84755,42.257229,265,33,F,Belvidere,IL,2/16/95,22,897,1622,773,1206
-97.03303,42.221382,65,36,M,Wayne,NE,3/1/93,11,752,1336,735,1255
-72.57338,42.130343,452,63,M,South Hadley,MA,11/29/95,12,783,1519,716,1248
-75.96686,42.125725,366,34,F,Binghamton,NY,5/8/95,21,796,1387,726,1089
-75.85223,42.110927,361,33,F,Binghamton,NY,5/4/95,22,864,1501,801,1235
-80.05187,42.110156,364,31,F,Erie,PA,5/4/95,0,855,1327,825,1275
-80.05187,42.110156,365,39,F,Erie,PA,5/8/95,10,848,1141,839,1126
-72.5798,42.096644,437,70,F,Springfield,MA,11/8/95,11,891,1392,739,1195
-72.48857,42.095344,477,37,F,Springfield,MA,2/14/96,11,812,1269,741,1147
-91.599215,42.079415,6,32,M,Cedar Rapid,IA,4/13/92,12,809,1466,769,1236
-88.25922,42.037176,239,19,F,Elgin,IL,2/3/95,11,894,1468,804,1225
-88.32393,42.034776,240,42,M,Elgin,IL,2/3/95,22,930,1674,831,1302
-97.41741,42.026209,21,61,F,Norfolk,NE,5/27/92,11,831,1310,792,1273
-95.35379,42.019336,57,41,M,Denison,IA,1/27/93,12,881,1455,799,1258
-103.95935,41.986025,302,39,M,Monill,NE,3/22/95,0,804,1276,797,1251
-87.62325,41.886456,63,38,M,Chicago,IL,2/24/93,22,869,1544,731,1212
-87.62874,41.882937,66,56,F,Chicago,IL,3/2/93,22,972,1532,739,1120
-87.63014,41.880446,67,24,M,Chicago,IL,3/4/93,22,860,1470,719,1098
-71.43802,41.839296,469,37,F,Providence,RI,2/2/96,12,883,1385,539,972
-71.44775,41.8191,474,42,M,Providence,RI,2/9/96,22,775,1239,613,952
-71.40431,41.7883,413,57,F,Providence,RI,10/6/95,21,854,1329,707,1097
-87.7738,41.787982,55,78,M,Chicago,IL,1/27/93,12,872,1348,698,1119
-72.70255,41.771166,476,45,M,Middletown,CT,2/13/96,22,826,1359,689,1023
-72.70255,41.771166,494,19,F,Hartford,CT,3/5/96,22,838,1446,728,1222
-89.69452,41.759473,16,34,F,Sterling,IL,5/18/92,22,803,1540,734,1163
-86.13717,41.741872,106,47,M,South Bend,IN,3/3/94,11,727,1367,704,1213
-111.78042,41.730637,332,23,F,Provo,UT,4/21/95,10,824,1251,824,1246
-83.569359,41.720684,105,45,F,Toledo,OH,2/24/94,22,902,1494,723,1120
-93.572173,41.672687,13,48,M,Des Moines,IA,5/7/92,0,800,1379,785,1295
-86.27329,41.672543,132,62,F,South Bend,IN,10/11/94,12,881,1284,800,1102
-86.25253,41.671197,107,29,M,South Bend,IN,3/3/94,12,795,1427,719,1163
-72.778391,41.666049,465,57,M,New Britain,CT,1/30/96,22,793,1484,687,1082
-87.50574,41.610035,101,45,M,Hammond,IN,2/15/94,22,863,1339,797,1082
-83.48322,41.607416,104,33,M,Toledo,OH,2/22/94,22,822,1425,747,1183
-93.67356,41.587039,18,40,M,Des Moines,IA,5/20/92,11,839,1326,786,1201
-81.52726,41.570344,108,40,M,Cleveland,OH,3/15/94,22,858,1532,766,1276
-87.3581,41.542536,102,29,M,Gary,IN,2/17/94,22,839,1466,726,1159
-90.50006,41.490333,131,59,M,Quad Cities,IL,10/10/94,22,833,1504,735,1277
-90.50006,41.490333,141,47,F,Quad Cities,IL,10/24/94,21,851,1317,795,1178
-75.62478,41.46213,363,37,F,Scranton,PA,5/4/95,11,861,1480,736,1145
-81.78174,41.459399,169,35,F,Cleveland,OH,11/28/94,22,834,1506,763,1189
-82.1691,41.459218,87,51,M,Lorain,OH,1/11/94,11,834,1426,783,1285
-81.70342,41.448951,168,62,M,Cleveland,OH,11/22/94,12,881,1476,760,1202
-82.20658,41.431875,88,35,F,Lorain,OH,1/11/94,22,826,1417,794,1224
-88.10284,41.429681,287,30,F,Joliet,IL,3/2/95,22,803,1507,710,1124
-81.91436,41.415097,110,32,F,Cleveland,OH,3/22/94,22,836,1432,790,1208
-82.077068,41.401494,96,28,F,Elyria,OH,1/27/94,22,791,1479,729,1157
-75.66603,41.39208,362,43,M,Scranton,PA,5/4/95,11,781,1518,710,1288
-96.10608,41.365763,722,22,F,Omaha,NE,11/12/98,11,840,1321,839,1189
-72.8803,41.315797,468,65,F,New Haven,CT,1/31/96,22,921,1435,610,939
-111.96366,41.314075,301,23,M,Ogden,UT,3/20/95,10,801,1306,813,1304
-95.9362,41.260566,264,18,F,Omaha,NE,2/22/95,1,833,1372,803,1264
-77.0108,41.256736,829,62,F,Williamspor,PA,7/12/01 & 7/16/01,11,865,1306,793,1209
-95.99897,41.242313,10,40,F,Omaha,NE,4/29/92,11,841,1384,719,1028
-95.99897,41.242313,258,49,F,Omaha,NE,2/15/&2/20/95,21,823,1296,762,1162
-96.18662,41.177298,51,40,F,Omaha,NE,1/20/93,11,865,1308,819,1163
-112.10675,41.172593,297,27,M,Ogden,UT,3/17/95,0,794,1185,788,1162
-85.05941,41.138599,322,31,F,Ft. Wayne,IN,4/6/95,12,838,1306,691,1038
-80.69471,41.106249,179,40,M,Youngstown,OH,12/7/94,0,771,1233,742,1157
-85.15101,41.071681,79,46,F,Fort Wayne,IN,11/23/93,22,806,1385,722,1058
-81.51919,41.043955,81,44,M,Akron,OH,11/30/93,22,828,1432,735,1163
-92.41741,41.023872,46,61,F,Ottumwa,IA,12/17/92,1,808,1189,768,1207
-100.54009,41.020868,306,23,F,Maxwell,NE,3/24/95,0,823,1268,838,1221
-80.802854,41.017082,95,29,F,Youngstown,OH,1/27/94,10,837,1150,797,1105
-80.6549,40.951859,93,53,M,Youngstown,OH,1/25/94,0,738,1184,761,1218
-81.5981,40.936655,80,36,M,Akron,OH,11/30/93,22,812,1427,775,1148
-74.1939,40.918948,809,52,F,Passaic,NJ,12/5/00,,754,1383,545,906
-74.1939,40.918948,810,43,M,Paterson,NJ,1/19/01,22,774,1399,599,1061
-98.50213,40.872457,40,27,M,Grand Islan,NE,12/3/92,11,814,1305,818,1282
-96.692843,40.820645,8,25,M,Lincoln,NE,4/21/92,1,767,1395,744,1182
-81.42142,40.810931,712,28,F,Canton,OH,9/28/98,1,805,1502,766,1279
-96.65634,40.807106,279,30,F,Lincoln,NE,3/6/95,11,866,1418,851,1362
-81.50101,40.805131,83,43,M,Massillon,OH,12/7/93,11,829,1241,751,1031
-74.16144,40.7935,812,75,F,Belleville,NJ,2/6/01,22,865,1387,548,957
-77.84993,40.792011,389,21,M,State Colle,PA,5/25/95,0,785,1161,764,1101
-89.40841,40.784412,122,45,M,Peoria,IL,9/21/94,22,880,1350,753,1085
-81.371185,40.782408,82,61,M,Canton,OH,11/7/93,0,821,1253,779,1234
-81.40593,40.776858,718,38,F,Canton,OH,11/5/98,22,905,1318,747,1070
-82.47612,40.773556,178,28,M,Mansfield,OH,12/7/94,11,872,1349,834,1242
-89.569207,40.765301,17,32,F,Peoria,IL,5/30/92,12,895,1435,830,1194
-73.96732,40.759015,495,65,F,New York,NY,3/5/96,22,953,1336,544,845
-88.51546,40.741158,68,25,F,Fairbury,IL,3/8/93,11,846,1353,807,1250
-74.071,40.714,807,70,F,Jersey Cit,NJ,11/9/00,22,911,1421,585,939
-111.85657,40.706246,311,30,F,Salt Lake C,UT,3/29/95,1,822,1259,801,1188
-73.85828,40.69087,799,45,F,New York,NY,8/22/00,22,814,1379,573,972
-73.82216,40.688688,800,48,F,New York,NY,8/25/00,22,1052,1586,520,975
-73.82216,40.688688,801,18,F,New York,NY,8/27/00,22,858,1411,566,1017
-74.11768,40.666552,817,57,F,Bayonne,NJ,3/9/01,22,893,1345,624,1040
-74.40383,40.631252,814,58,M,Plainfield,NJ,2/27/01,12,812,1345,578,996
-74.42481,40.620102,815,81,M,North Plain,NJ,3/2/01,22,784,1381,595,1066
-75.45915,40.595097,548,16,M,Allentown,PA,7/10/96,11,726,1406,703,1286
-74.44775,40.488304,811,28,M,New Brunsw,NJ,1/29/01,22,777,1312,558,992
-76.8727,40.48358,357,40,M,Harrisburg,PA,5/3/95,22,862,1328,652,951
-79.95726,40.471468,544,61,M,Pittsburgh,PA,7/8/96,0,780,1259,742,1177
-88.96939,40.459584,275,27,M,Bloomington,IL,3/1/95,11,675,1083,684,984
-79.83277,40.459518,732,39,F,Pittsburgh,PA,1/10/99,0,861,1266,838,1172
-80.06008,40.455118,356,62,F,Pittsburgh,PA,5/3/95,0,783,1117,774,1117
-79.67948,40.451664,355,66,F,Pittsburgh,PA,5/3/95,0,817,1138,838,1106
-79.87191,40.438035,545,35,M,Pittsburgh,PA,7/8/96,0,769,1185,743,1125
-79.97826,40.426211,742,30,F,Pittsburgh,PA,2/11/99,0,801,1260,832,1244
-79.98948,40.409219,740,33,F,Pittsburgh,PA,2/8/99,0,817,1307,788,1311
-75.91205,40.355092,553,17,M,Reading,PA,7/12/96,22,840,1316,635,984
-76.7808,40.343261,714,39,F,Harrisburg,PA,11/19/98,0,672,1132,657,1083
-111.70561,40.311854,330,23,F,Orem,UT,4/19/95,0,766,1133,751,1107
-74.65918,40.225409,385,66,F,Trenton,NJ,5/22/95,22,887,1303,735,1093
-85.37602,40.221103,225,42,F,Muncie,IN,1/31/95,11,818,1328,692,1067
-74.72005,40.199859,384,44,F,Trenton,NJ,5/29/95,22,915,1277,731,1030
-87.6124,40.175463,12,35,M,Danville,IL,5/5/92,11,800,1290,725,1120
-85.38114,40.164393,224,37,M,Muncie,IN,1/31/95,11,783,1219,715,1043
-85.737,40.112913,193,19,F,Anderson,IN,1/12/95,11,815,1351,749,1249
-88.2733,40.108631,210,31,M,Champaign,IL,1/25/95,11,774,1307,735,1179
-95.58631,40.097217,64,28,F,Falls City,NE,3/1/93,11,792,1212,782,1139
-83.01881,40.053063,743,39,F,Columbus,OH,2/25/99,11,756,1373,754,1251
-83.01881,40.053063,746,26,F,Columbus,OH,3/22/99,0,858,1344,869,1272
-74.123,40.042479,824,14,F,Brick,NJ,5/4/01,22,860,1352,638,1080
-75.22104,40.038944,516,33,M,Philadelphi,PA,4/9/96,22,779,1387,703,1119
-83.02148,40.003681,758,36,F,Columbus,OH,10/22/99,11,863,1379,855,1225
-75.11116,39.991712,520,29,F,Philadelphi,PA,4/17/96,22,812,1364,700,1048
-83.08231,39.958496,103,67,M,Columbus,OH,2/17/94,11,864,1333,769,1174
-83.123,39.954363,100,56,F,Columbus,OH,2/10/94,10,850,1123,800,1065
-83.78579,39.91086,242,56,F,Springfield,OH,2/3/95,11,764,1143,663,998
-86.01405,39.907838,770,13,F,Indianapoli,IN,1/26/00,12,886,1546,791,1285
-75.26939,39.903312,587,30,F,Philadelphi,PA,10/2/96,22,832,1374,665,981
-88.95637,39.878041,211,23,F,Decatur,IL,1/24/95,0,814,1230,785,1135
-89.64379,39.819,114,67,M,Springfield,IL,4/12/94,22,843,1399,707,1110
-86.25409,39.795593,98,21,F,Indianapoli,IN,2/2/94,1,850,1236,809,1211
-86.28575,39.792993,774,23,M,Indianapoli,IN,2/3/00,11,808,1327,806,1274
-86.28575,39.792993,775,45,F,Indianapoli,IN,2/7/00,1,852,1388,774,1233
-94.80941,39.787394,241,24,F,St. Joseph,MO,2/3/95,11,890,1218,837,1171
-83.1469,39.786202,757,37,F,Columbus,OH,10/22/99,11,787,1279,778,1163
-75.68586,39.784014,506,67,F,Wilmington,DE,3/22/96,12,841,1352,605,952
-86.10839,39.775125,99,40,F,Indianapoli,IN,2/3/94,10,790,1172,712,1106
-89.63612,39.7715,117,60,M,Springfield,IL,4/13/94,22,798,1396,648,1145
-89.63612,39.7715,725,32,M,Springfield,IL,11/23/98,22,916,1418,815,1184
-94.84504,39.766144,257,56,M,St. Joseph,MO,2/15/95,11,806,1308,723,1146
-75.56413,39.758563,505,13,F,Wilmington,DE,3/22/96,0,813,1297,763,1244
-84.18848,39.757758,92,44,F,Dayton,OH,1/18/94,12,826,1310,723,1065
-84.268593,39.750471,91,48,M,Dayton,OH,1/18/94,12,814,1323,721,1108
-75.58251,39.745377,588,30,F,Wilmington,DE,10/2/96,22,776,1301,665,1034
-75.60806,39.721062,510,68,M,Wilmington,DE,3/26/96,22,789,1360,716,1151
-86.08634,39.67859,777,41,M,Indianapoli,IN,3/3/00,22,825,1427,741,1205
-86.1833,39.668795,773,44,F,Indianapoli,IN,2/1/00,22,921,1393,840,1198
-104.83421,39.665637,172,27,F,Denver,CO,12/1/94,11,821,1253,770,1129
-104.77723,39.623896,159,51,M,Denver,CO,11/16/94,0,812,1371,821,1352
-105.13052,39.599755,137,31,F,Denver,CO,10/17/94,0,799,1276,788,1239
-119.835275,39.52241,312,55,M,Reno,NV,3/29/95,11,744,1338,700,1218
-75.01887,39.492265,821,57,F,Vineland,NJ,4/18/01,22,874,1292,691,1106
-84.60321,39.409188,250,20,F,Hamilton,OH,2/10/95,11,821,1341,748,1185
-84.52271,39.404856,244,34,F,Hamilton,OH,2/8/95,1,796,1263,753,1144
-87.3977,39.393237,228,30,F,Terre Haute,IN,2/1/95,11,814,1260,778,1082
-74.43903,39.364966,822,80,M,Atlantic Ci,NJ,4/26/01,22,837,1556,567,1046
-76.64644,39.286556,513,61,F,Baltimore,MD,4/2/96,22,905,1359,614,914
-80.34348,39.281289,561,39,F,Clarksburg,WV,8/5/96,0,807,1117,804,1082
-76.74002,39.278056,512,43,M,Baltimore,MD,4/2/96,21,861,1288,723,1000
-87.40974,39.25182,229,19,M,Terre Haute,IN,2/1/95,11,718,1323,705,1300
-84.60527,39.154159,120,58,F,Cincinnati,OH,4/20/94,11,815,1248,704,1066
-84.43426,39.13786,118,68,M,Cincinnati,OH,4/19/94,22,869,1273,730,1158
-84.33389,39.119161,187,43,F,Cincinnati,OH,12/15/94,11,825,1277,761,1131
-95.64804,39.044056,155,26,M,Topeka,KS,11/14/94,0,828,1343,796,1243
-94.73924,39.009485,157,49,M,Kansas City,KS,11/15/94,11,836,1362,808,1274
-94.73924,39.009485,158,50,F,Kansas City,KS,11/15/94,21,882,1308,744,1146
-105.06335,38.996004,147,43,M,Col. Spring,CO,11/1/94,0,774,1377,765,1275
-95.23202,38.983551,280,25,F,Lawrence,KS,3/8/95,11,769,1216,710,1114
-95.79016,38.981849,145,31,M,Topeka,KS,10/29/94,11,847,1270,740,1221
-87.09917,38.96555,208,64,M,Lyons,IN,1/25/95,12,828,1272,747,1138
-77.11425,38.958377,601,45,M,WashingtonD,DC,11/14/96,22,807,1371,739,1116
-94.53932,38.929356,156,34,M,Kansas City,MO,11/15/94,11,843,1309,846,1159
-92.36887,38.925204,289,23,F,Columbia,MO,3/13/95,11,794,1222,717,1075
-92.36887,38.925204,717,18,F,Columbia,MO,10/30/98,0,790,1306,774,1182
-94.70758,38.899634,152,40,F,Kansas City,KS,11/10/94,0,761,1142,715,1043
-99.32559,38.881082,352,33,M,Hays,KS,4/28/95,11,771,1221,674,1042
-94.852061,38.658068,260,39,M,Lawrence,KS,2/15/95,11,834,1450,749,1333
-121.26529,38.654803,377,28,F,Sacramento,CA,5/18/95,0,861,1263,827,1264
-90.18702,38.6352,111,48,M,St. Louis,MO,3/22/94,22,751,1596,706,1264
-90.193,38.631551,109,57,F,St. Louis,MO,3/15/94,22,905,1372,712,1084
-90.26307,38.580552,161,38,F,St. Louis,MO,11/6/94,22,895,1405,741,1088
-90.37113,38.500734,167,53,F,St. Louis,MO,11/21/94,22,881,1559,740,1179
-82.6932,38.439526,293,65,M,Ashland,KY,3/16/95,11,734,1187,691,1124
-82.57461,38.385975,308,42,F,Huntington,WV,3/28/95,0,720,1046,726,1016
-81.82633,38.378841,313,42,M,Charleston,WV,3/29/95,0,799,1235,751,1188
-122.69345,38.243734,414,45,F,San Francis,CA,10/9/95,1,828,1221,810,1210
-85.739,38.21632,518,47,F,Louisville,KY,4/11/96,22,803,1254,719,1079
-85.55348,38.190568,521,40,F,Louisville,KY,4/23/96,22,787,1443,778,1231
-84.58619,38.010247,283,41,F,Lexington,KY,3/9/95,0,789,1206,786,1179
-84.53452,38.007898,284,17,F,Lexington,KY,3/9/95,0,761,1137,750,1095
-87.57621,37.999542,89,39,F,Evansville,IN,1/13/94,22,842,1345,764,1130
-87.574963,37.997128,90,36,M,Evansville,IN,1/3/94,11,767,1191,704,1054
-100.82503,37.976008,307,33,F,Garden City,KS,3/27/95,1,805,1183,803,1138
-100.82503,37.976008,309,47,F,Garden City,KS,3/29/95,0,827,1167,807,1132
-95.93877,37.777886,130,69,F,Toronto,KS,10/9/94,11,780,1211,723,1121
-97.35763,37.754443,144,54,M,Wichita,KS,10/27/94,11,830,1199,795,1115
-97.4343,37.700632,164,59,F,Wichita,KS,11/19/94,0,890,1261,875,1221
-122.42363,37.625908,443,68,M,San Francis,CA,11/9/95,11,791,1316,652,1030
-77.51709,37.581696,509,35,F,Richmond,VA,3/28/96,22,865,1265,747,1022
-77.45739,37.549396,511,21,M,Richmond,VA,4/1/96,1,758,1339,727,1212
-79.93549,37.236753,400,48,F,Roanoke,VA,9/22/95,22,791,1244,745,1076
-80.02477,37.229786,830,73,F,Roanoke,VA,10/31/01,22,806,1227,735,1152
-93.31817,37.212639,128,44,M,Springfield,MO,10/5/94,1,705,1341,700,1303
-93.2519,37.161299,134,26,M,Springfield,MO,10/14/94,1,833,1284,790,1227
-76.2547,36.942947,528,17,M,Norfolk,VA,5/7/96,11,804,1362,722,1071
-76.2547,36.942947,806,64,M,Norfolk,VA,10/24/00,22,804,1383,696,1144
-119.82747,36.786948,421,45,F,Fresno,CA,10/11/95,1,815,1255,721,1108
-119.82747,36.786948,422,18,M,Fresno,CA,10/12/95,10,821,1199,794,1178
-95.98674,36.236691,602,32,F,Tulsa,OK,11/21/96,11,803,1203,741,1095
-115.06881,36.233655,328,32,F,Las Vegas,NV,4/17/95,0,785,1333,720,1199
-115.12785,36.17022,323,24,M,Las Vegas,NV,4/7/95,0,729,1280,712,1273
-79.88291,36.116854,480,14,M,Greensboro,NC,2/15/96,11,840,1372,770,1179
-80.21918,36.107037,463,61,M,Winston-Sal,NC,1/29/96,22,806,1253,751,1161
-86.72584,36.079259,232,52,F,Nashville,TN,2/1/95,11,766,1353,734,1310
-80.30733,36.066545,488,46,F,Winston-Sal,NC,2/29/96,22,802,1317,782,1251
-86.79121,36.007373,231,45,M,Nashville,TN,2/1/95,11,807,1325,746,1167
-84.1182,35.976063,554,28,M,Knoxville,TN,7/15/96,11,731,1219,743,1326
-78.83969,35.966431,625,40,F,Durham,NC,2/6/97,22,855,1280,741,1117
-78.83969,35.966431,627,45,F,Durham,NC,2/13/97,22,753,1338,700,1337
